"Words" "Frequency"
"1199" "oddnumbered" "1"
"1200" "rbarw" "1"
"1201" "amam" "1"
"1202" "glue" "1"
"1203" "underlinewithin" "1"
"1204" "prog" "1"
"1205" "firstpr" "1"
"1206" "labels" "1"
"1207" "segment" "1"
"1208" "systems" "1"
"1209" "belonging" "1"
"1210" "lastpr" "1"
"1211" "area" "1"
"1212" "registersave" "1"
"1213" "comment" "1"
"1214" "interrupt" "1"
"1215" "later" "1"
"1216" "routine" "1"
"1217" "update" "1"
